1,2,3,4,5,6,7,8,9,10
0.253,4.5965,150.74,36.253,26565,3.1587,0.020955,26565,0.0408,144.01
0.254,4.6329,150.73,36.397,26565,3.1839,0.021122,26565,0.0408,144.02
0.255,4.6694,150.73,36.541,26565,3.2091,0.02129,26565,0.0408,144.02
0.256,4.7061,150.72,36.685,26565,3.2344,0.021459,26565,0.0408,144.03
0.257,4.7429,150.72,36.83,26565,3.2599,0.021629,26565,0.0408,144.04
0.258,4.7799,150.71,36.974,26565,3.2854,0.021799,26565,0.0408,144.04
0.259,4.817,150.71,37.118,26565,3.3111,0.02197,26565,0.0408,144.05
0.26,4.8543,150.7,37.262,26565,3.3368,0.022142,26565,0.0408,144.05
0.261,4.8917,150.7,37.406,26565,3.3627,0.022314,26565,0.0408,144.06
0.262,4.9292,150.69,37.55,26565,3.3886,0.022487,26565,0.0408,144.06
0.263,4.9669,150.69,37.694,26565,3.4147,0.02266,26565,0.0408,144.07
0.264,5.0048,150.68,37.838,26565,3.4409,0.022835,26565,0.0408,144.08
0.265,5.0427,150.68,37.982,26565,3.4671,0.02301,26565,0.0408,144.08
0.266,5.0809,150.67,38.126,26565,3.4935,0.023185,26565,0.0408,144.09
0.267,5.1191,150.67,38.27,26565,3.5199,0.023362,26565,0.0408,144.09
0.268,5.1576,150.66,38.414,26565,3.5465,0.023539,26565,0.0408,144.1
0.269,5.1961,150.66,38.558,26565,3.5731,0.023717,26565,0.0408,144.1
0.27,5.2348,150.65,38.703,26565,3.5999,0.023895,26565,0.0408,144.11
0.271,5.2737,150.65,38.847,26565,3.6268,0.024074,26565,0.0408,144.11
0.272,5.3127,150.64,38.991,26565,3.6537,0.024254,26565,0.0408,144.12
0.273,5.3518,150.64,39.135,26565,3.6808,0.024434,26565,0.0408,144.13
0.274,5.3911,150.63,39.279,26565,3.7079,0.024615,26565,0.0408,144.13
0.275,5.4305,150.63,39.423,26565,3.7352,0.024797,26565,0.0408,144.14
0.276,5.4701,150.62,39.567,26565,3.7626,0.02498,26565,0.0408,144.14
0.277,5.5098,150.62,39.711,26565,3.79,0.025163,26565,0.0408,144.15
0.278,5.5496,150.61,39.856,26565,3.8176,0.025347,26565,0.0408,144.15
0.279,5.5896,150.61,40,26565,3.8453,0.025531,26565,0.0408,144.16
0.28,5.6298,150.6,40.144,26565,3.873,0.025716,26565,0.0408,144.17
0.281,5.6701,150.6,40.288,26565,3.9009,0.025902,26565,0.0408,144.17
0.282,5.7105,150.59,40.432,26565,3.9289,0.026089,26565,0.0408,144.18
0.283,5.7511,150.59,40.576,26565,3.9569,0.026276,26565,0.0408,144.18
0.284,5.7918,150.58,40.721,26565,3.9851,0.026464,26565,0.0408,144.19
0.285,5.8327,150.58,40.865,26565,4.0134,0.026653,26565,0.0408,144.19
0.286,5.8737,150.57,41.009,26565,4.0418,0.026842,26565,0.0408,144.2
